LEAID	LEA_NAME	ST_NAME	LEA_CWIFTEST	LEA_CWIFTSE
0403240	Gadsden Elementary District	Arizona	0.882	0.035
0403290	Ganado Unified District	Arizona	0.822	0.043
0403310	Gila Bend Unified District	Arizona	0.974	0.005
0403400	Gilbert Unified District	Arizona	0.974	0.005
0403420	Glendale Elementary District	Arizona	0.974	0.005
0403450	Glendale Union High School District	Arizona	0.974	0.005
0403500	Globe Unified District	Arizona	0.766	0.055
0403550	Grand Canyon Unified District	Arizona	0.941	0.024
0403660	Hackberry School District	Arizona	0.863	0.032
0403730	Hayden-Winkelman Unified District	Arizona	0.766	0.055
0403780	Higley Unified District	Arizona	0.974	0.005
0403820	Holbrook Unified District	Arizona	0.822	0.043
0403870	Humboldt Unified District	Arizona	0.9	0.025
0403900	Hyder Elementary District	Arizona	0.882	0.035
0403950	Indian Oasis-Baboquivari Unified District	Arizona	0.897	0.008
0403960	Isaac Elementary District	Arizona	0.974	0.005
0403990	J. O. Combs Unified School District	Arizona	0.9	0.025
0404010	Joseph City Unified District	Arizona	0.822	0.043
0404060	Kayenta Unified District	Arizona	0.822	0.043
0404170	Kirkland Elementary District	Arizona	0.9	0.025
0404200	Klondyke Elementary District	Arizona	0.766	0.055
0404230	Kyrene Elementary District	Arizona	0.974	0.005
0404280	Lake Havasu Unified District	Arizona	0.863	0.032
0404290	Laveen Elementary District	Arizona	0.974	0.005
0404320	Liberty Elementary District	Arizona	0.974	0.005
0404380	Litchfield Elementary District	Arizona	0.974	0.005
0404410	Littlefield Unified District	Arizona	0.863	0.032
0404440	Littleton Elementary District	Arizona	0.974	0.005
0404500	Madison Elementary District	Arizona	0.974	0.005
0404530	Maine Consolidated School District	Arizona	0.941	0.024
0404570	Mammoth-San Manuel Unified District	Arizona	0.9	0.025
0404630	Marana Unified District	Arizona	0.897	0.008
0404720	Maricopa Unified School District	Arizona	0.9	0.025
0404770	Altar Valley Elementary District	Arizona	0.897	0.008
0404820	Mayer Unified District	Arizona	0.9	0.025
0404860	McNary Elementary District	Arizona	0.822	0.043
0404920	McNeal Elementary District	Arizona	0.891	0.027
0404970	Mesa Unified District	Arizona	0.974	0.005
0405030	Miami Unified District	Arizona	0.766	0.055
0405070	Mingus Union High School District	Arizona	0.9	0.025
0405100	Mobile Elementary District	Arizona	0.974	0.005
